,hash,ids,type
65,96ce7e3b0266fadb6efe602ae1593f5c218c3298068bbce77662468231094498,calculateNextPrice (uint256 _price) public view returns (uint256 _nextPrice) ,type-3-1
66,9f70a5e28d5250e8d2e0a100cc00a3a924a76216b2b5578bde1087226798be69,calculateDevCut (uint256 _price) public view returns (uint256 _devCut) ,type-3-1
67,7ccec573ca6598ad753edde2ddfaf17ab85d467cc11a226655f5013ff607ff2b,buy (uint256 _itemId) payable public ,type-3-1
68,6ebbf294cb560761713462093883b6447ace4df0c87f0a03f2719c32c0e6106a,"approve(address _to, uint256 _itemId) onlyERC721() public ",type-3-1
69,e53bb8bf02de4c850bc9ea5c971a0f0b3db226c0b1b90af98e6b976555e61cf6,vestedAmount(ERC20Basic token) public view returns (uint256) ,type-3-1
70,5f00e1735fd3a0528cc8010ec11076e8df00f1451c2b1e46b964955b13f23edc,"transferFrom(address _from, address _to, uint256 _value) public returns (bool) ",type-3-1
71,ecde6b3355eaabaf67924663cfab5e9bda4d2ed388da35771721f718c44c001d,"transfer(address _to, uint _value, bytes _data) public ",type-3-1
72,ffe6ce64d50c1d250793dab2cc650ab87122f2c45ed857fc7c9291611374e3ae,removeService(bytes32 _serviceName) public onlyOwner returns(uint index) ,type-3-1
73,f60968e39e61f0c643e3d9c0333392cb41a3f086468e3bd81f7e2f010a9e77a1,() payable ,type-3-1
74,55173039b3d52015f794bfb29364edcf1688cc7dbb0e002b1773d22ca58949e0,"CommonToken(
        address _seller,
        address _teamWallet
    ) MultiOwnable() public ",type-3-1
75,f6d4d874bd6a781974f7cdd1a29b0273ea919907181968669df2f0b3b44fc5f9,"createtoken(string _name, string _link, uint256 _price) public returns (bool success) ",type-3-1
76,50dc946614ec493c8a1bdaea0731279daab3eb86e4fd9efaccca6aff25aead68,buytoken(uint256 _tokenId) payable public ,type-3-1
77,ca92c900a3f6cde74bf2dfea03f09900283c3c7e54ffe6844955354f4a40c277,withdraw(uint _amount) public ,type-3-1
78,9735c7578d38ad35446b5fe3df690f4db563100a4be3a9ff5e8755f06e05af86,getTokens() payable canDistr onlyWhitelist public ,type-3-1
79,994b32479fccffc1c4a7d608de747bac8bd8bc993304984a71bb897478f05ea3,"transferFrom(address _from, address _to, uint256 _amount) onlyPayloadSize(3 * 32) public returns (bool success) ",type-3-1
80,ec5186b79f2e69bdd7f41ed8502543b7a9218ae70b760fec8a719eff0a18eb10,buyTokens() issetTokensForSale saleIsOn payable ,type-3-1
81,84e9a5e06fde9e0c5d8d4e2bdebb2d929d4f7e8aaece450329a7e237b88c39cf,"subApproval(address _spender, uint256 _subtractedValue)
  onlyPayloadSize(2 * 32)
  public returns (bool success) ",type-3-1
82,f2d9971653d43a360e783c0eaeb6b835a930ec323f21d5cd5aa30994c011fac2,() public payable ,type-3-1
83,0871c4de4c02fcd2eff9e498771f93280c6fc75f86c145f543573c3fc0588e71,"sell(uint256 _amountOfTokens)
        onlyBagholders()
        public
    ",type-3-1
84,3afc411135662aeb5084a74daa85bc13cab362c45f25cbad4ce7176aa25d44f2,"transfer(address _toAddress, uint256 _amountOfTokens)
        onlyBagholders()
        public
        returns(bool)
    ",type-3-1
85,3e4fa1d6d35438bd7c8d19988b3b252a571077410fe32afebdaa5cf348c2278c,"sellPrice() 
        public 
        view 
        returns(uint256)
    ",type-3-1
86,1accc073816329f582f3dad8d0c52c62ce2a65ed2c6e0d130a18f977a731224a,"buyPrice() 
        public 
        view 
        returns(uint256)
    ",type-3-1
87,99f227460889267a472d76decd922eef9df675d74923a3b1cab5ad5c044b2436,"purchaseTokens(uint256 _incomingEthereum, address _referredBy)
        internal
        OnlyOpen()
        returns(uint256)
    ",type-3-1
88,7a77ec110d1ef5867a65aa33cef838b7cc5655faaf041e24d6cda16c65ebdc91,processContribution() private whenNotPaused checkContribution checkCap ,type-3-1
89,f69de728f7a962e1662d700f964a4986656ccb80c9fcfe6f01c7480ad147d624,() noReentrancy payable public ,type-3-1
90,a400573df30f0450312116952bc43a68dd9f2de7b7e7b46039168d1695bb20bd,batchReturnEthIfFailed(uint _numberOfReturns) onlyOwner public ,type-3-1
91,2c4a0e78f97b408efb407d82ab5cfcd22bce46f832f472508ba69b93f9acb88c,buyTokens(address beneficiary) payable ,type-3-1
92,a3119ebf69a2505e3a59653160a513d17e7e6e08ba742113b648a1e867c46e4b,finalize() onlyOwner ,type-3-1
93,f60968e39e61f0c643e3d9c0333392cb41a3f086468e3bd81f7e2f010a9e77a1,() payable,type-3-1
94,038a40f54172d580d14fa8053e5a3e51cb59d4d9300576f17489b3d1afca04c3,Token(address sale_address) ,type-3-1
95,df4f862b088b03ac1707341c52e88082668274efe7f7bb67bec82912ca16052a,reinvestDividends() public ,type-3-1
96,5583ffb63785b04dd1e627ae70cb281849c25fdc1b2afab724924a6b44cad972,buy() internal ,type-3-1
97,e7c928c64c3989b67d804543044ac69474733403b802cdf5c88ad5c84e4f65c1,sell(uint256 amount) internal ,type-3-1
98,f89a053f142987ff53312bfa68cac69de084d859153db7454aabfa355cc9d55b,"PrymexPreICOCrowdsale(uint256 _startTime, uint256 _endTime, uint256 _rate, address _wallet) ",type-3-1
99,aae7bea87510c970d451eb2d063e05eb5a429326e5a422f55b941cb4c2b0598b,buyTickets() payable public ,type-3-1
100,679bb134a3901eb366a2f84da8199100b710bb88a63861754e3c62178277de7a,getCurrentBonusRate() public constant returns(uint8 bonusRate) ,type-3-1
101,ec9e813d6009bfaab01a8c7b30b72234d7164f2b0544291f3f38efee18a078d8,"_transfer( address from,
                      address to,
                      uint value,
                      bytes data ) internal
  ",type-3-1
102,d9aacf7d10e804bf91edcfe0c7f78afae938a6c7118e1c87fbe06a42e6c7dfc8,participate() payable ,type-3-1
103,bef44cb81fa9188e18406477efb47950be8ae17280441d25a15a267e175411d4,"transfer(address _to, uint256 _value) onlyPayloadSize(2 * 32) returns (bool) ",type-3-1
104,5e7861cb9e578160ca010dd0aa257589ee106168f2ed0f643f8ad42ccbc01298,"transferFrom(address _from, address _to, uint256 _value) onlyPayloadSize(3 * 32) returns (bool) ",type-3-1
105,3441593bdfde17b16b292db497272b3645ac302befb61b034924ac1662949bea,mint() canPoSMint returns (bool) ,type-3-1
106,0fb1fc7eae0c9078009fcd5ced28ddd1ed62f1dfc6fce69385ef3d7e1986045e,getProofOfStakeReward(address _address) internal returns (uint) ,type-3-1
107,8a2421d5a2fdd21d98ee3d63a5aaa88eb001b1c75ed557596736bf7b289e27a7,purchase(uint256 _tokenId) public payable ,type-3-1
108,b9f987b3dd09377000e287ecbd101337763e4c2c9165ee0f9efd6029998553f4,"transferFrom(address _from, address _to, uint256 _value) public returns (bool success) ",type-3-1
109,07396e4b456ec3161a179d2df6964892a0a09bca8dee164a62f8002236988da0,createTokens() payable external ,type-3-1
