,hash,ids,type
106,8a37d90a9ae559a82a48b93d862e5b50699d7314db1f51ad7dd36719054efe4a,"_createItem23(string _name, address _owner, uint256 _price) private ",type-3-2
107,ba277a302b9b24e4d7702c5dbe81af9555b8962ff3a66eda54c8460b01e5dbc5,"redeem(uint256 baseUnits, address[] tokensToSkip)
        external
        whenNotPaused()
        requireNonZero(baseUnits)
        requireMultiple(baseUnits)
    ",type-3-2
108,e53bb8bf02de4c850bc9ea5c971a0f0b3db226c0b1b90af98e6b976555e61cf6,vestedAmount(ERC20Basic token) public view returns (uint256) ,type-3-2
109,4a15cae11cf5ce3acc55dbd3ad558f022d179c08c306dd686b89026dbb45ce88,"editContributors(address[] _contributorAddresses, uint[] _contributorPPAllowances, uint[] _contributorCommunityAllowance) onlyOwner",type-3-2
110,72f28929e55bec2a5b69302567453ae854180aa4d7a0b9dc74e178f68425835a,"release(uint256 timestamp, uint256 sysAmount) public onlyOperator returns(uint256 _actualRelease) ",type-3-2
111,cce5a233b24093bcfd833f09a0f80acec3f22b408eeda5c358fd77832da55c75,removeRandomClass(uint32 _oldClassId) onlyModerators public ,type-3-2
112,fa59b258d5865e3eb9389d87ca0d67e46be0d3911b2200e4c6d647f3484a6ea8,() payable public ,type-3-2
113,ed680333ea6539534a22abd750ae2cf2a11cae65e288c72c92300b84eb36f225,"initialize(
        address _token,
        address _destTokensReserve,
        address _destTokensTeam,
        address _destTokensBounties,
        address _destTokensAirdrop,
        address _destTokensAdvisors,
        address _destTokensEarlyInvestors
    ) public onlyOwner ",type-3-2
114,f2057aea1badb700f3fe7670e4c52223f345bc5ff425ee0d3393427e6e0e474b,"mint(uint256 nonce, bytes32 challenge_digest) public returns (bool success) ",type-3-2
115,e41cc998b14d0c09cc8bb534886b61bdf05295e743e705c9ff0c971cfd6bf1c5,"reducePlayersGooProduction(address player, uint256 decrease) internal ",type-3-2
116,aea325d38af4d054813feceba20bbef212c60a56fc77da7c3263393b6171a387,buyItemRaffleTicket(uint256 amount) external ,type-3-2
117,7348626e183a13ccdba645630e2a447956d1898baa517594a232864a46f0795e,"startItemRaffle(uint256 endTime, uint256 rareId) external ",type-3-2
118,d390c0af3cda052b8a94cfd6d88fa3e58f5ea8fbf969312d932dafb30d6c1d7d,"transferFrom(address _from, address _to, uint _value) onlyPayloadSize(3 * 32)     ",type-3-2
119,828bb7d2aebd624de74ae54abb2f8d52282318cf6415d4c70bbf090fd332d7dc,collectTokens() public onlyController ,type-3-2
120,6d500de6eb49a50403454185593dbd360e349e507f4a4802cff355f35947acad,"mintToken(address target, uint256 mintedAmount) onlyOwner returns (bool success) ",type-3-2
121,6fe631a1249f615377741418e9801784dcffb69d6aa58843f9851c6d9d5fb513,play(uint256 number) payable public ,type-3-2
122,5c834a53584fa025206399302c50efb67878dc0c1640d7f020d084f758463483,"BigbomToken(uint startTime, uint endTime, address admin, address _bbFounderCoreStaffWallet, address _bbAdvisorWallet,
        address _bbAirdropWallet,
        address _bbNetworkGrowthWallet,
        address _bbReserveWallet, 
        address _bbPublicSaleWallet
        ) public ",type-3-2
123,93bc7a2043c11eb6062a9bd8ca153ea35e5623ffd6dd1daaf54a5a956da0b18f,tokensale(address recipient) public payable ,type-3-2
124,c3097e5623376c5a3f3bc8fabe668a422c865f451143d85be8f4023d70eed4c3,"settleRing(
        TokenTransferDelegate delegate,
        uint          ringSize,
        OrderState[]  orders,
        address       feeRecipient,
        address       _lrcTokenAddress
        )
        private
        returns(
        bytes32[] memory orderHashList,
        uint[6][] memory amountsList)
    ",type-3-2
125,2efebfbcc6d42941d50360bb2f8df62e2865944cde0e0578cc29cd623094b4b4,logBet() private ,type-3-2
126,0c693fdc75c6bceeb4175c9ff1e5a3fbe46edf7d023babbc1fc1b0696cf68505,takerBuyAsset() payable ,type-3-2
127,8bc500bad82c94cce371d5b18a224a2c7a1ca246ed388b9779c61cefb8c53dbc,takerSellAsset(uint256 etherValueOfTokensToSell) ,type-3-2
128,d4b00553720bfbd3fcc451c299ba9995084758df5ee4fa23e28eb28e1990966a,approveNewMintRequest () public onlyOwners ,type-3-2
129,d8ccf31d394bf5d4163803516b277407b4f09deb60ac583aa4068d2e97e79b58,"addAd(uint _x, uint _y, uint _width, uint _height)private returns(uint idx)",type-3-2
130,f4b6fdf2e73264ba1b75f651b8caa0345c88194503ff24bc48f525b933c35797,"settleCall(uint expiration, uint strike, address writer) public ",type-3-2
131,d08a71d282c25ac99e4bc4e0bd3f6919a6941090eaac01c8340b0c6f770111b8,sell(uint256 amountInWeiDecimalIs18) returns (uint256 revenue) ,type-3-2
132,96beea0bf47ef43eeaf816f454e8569203174d4799860b4a0f83e88a254f30a4,checkGoalReached() afterDeadline public ,type-3-2
133,c348d695c8390afe8b17d1fbf989a76946eb8061f86ffbea9d1c131a1a56277d,receiveETH(address beneficiary) internal ,type-3-2
134,22d04b616eee66828abe1b6349f50f6289c384a1e321b3e7e6c21bf1234e68f9,getRemainCoins() onlyOwner public ,type-3-2
135,c0185828f1c90799b8e6c75ec331298b3c962abb369d52cdb0ba134ba61686ff,"burnFrom(address _from, uint256 _value) public onlyOwner
        returns (bool success)
    ",type-3-2
136,e165fc793158fe495944d3bb7ce6c4495b2b5221a3cb2ac1fd462ed113e310cb,getCurrentBonus() public view returns (uint256) ,type-3-2
137,327322ef809c7b710904e18a7dd2be6b202da452a44f42366759e7d294bebb2a,refund() external ,type-3-2
138,12ebed1aff5f8e566d0b95ab9e56f6f5ced4d8b0aa16b7567b91dfdcb0a6b38c,"transferProxy(address _from, address _to, uint256 _value, uint256 _fee,
        uint8 _v,bytes32 _r, bytes32 _s, string _comment) returns (bool)",type-3-2
139,d42f59fc635f637152ee6c83c3881ba1767154f953e95267c59a85ef33998c07,"approveProxy(address _from, address _spender, uint256 _value,
        uint8 _v,bytes32 _r, bytes32 _s, string _comment) returns (bool success) ",type-3-2
140,0b964382b6ddef9597a9d0e5351f7845049452fd576ae73c6f47379220339f11,"transferFrom(address from, address to, uint tokens) public returns (bool success) ",type-3-2
141,dc61aadf774cfccf47242cab6cef52a2240d04d0c62378ddffc59ca02d679ef3,"refundInternal(
        bytes32 _requestId,
        address _address,
        uint256 _amount)
        internal
    ",type-3-2
142,97fa51dd675fea5204406c8314c65cf306f782ff6e4cbc13edb69d9d8a9a7f8a,investInternal(address receiver) private ,type-3-2
143,7cf0248881f83bf121cb6017d8ddb907084d8cf1c4afb38a0a3bae71897e9fad,"roll(uint8 _number)
        public
        payable
        returns (bool _success)
    ",type-3-2
144,01c577ef5bd5d95f0b1b1781d83bb20d013a53dbca77c095086c9265cf8b8a51,"payoutPreviousRoll()
        public
        returns (bool _success)
    ",type-3-2
145,0aa154b9d9fdedc651a3cda03db822a743f02668a5e600699c1cf1a10151a759,"resolutionProposal(
        string _name,
        string _description,
        PassProject _project,
        uint _minutesDebatingPeriod) payable returns (uint) ",type-3-2
146,ce4a3e7192f0aea04f36a261ebf8ca7d5c151b9ffa23125c6a1bcbe7a91396ae,"rulesProposal(
        uint _minQuorumDivisor, 
        uint _minCommitteeFees,
        uint _minPercentageOfLikes,
        uint _minutesSetProposalPeriod,
        uint _minMinutesDebatePeriod,
        uint _feesRewardInflationRate,
        uint _defaultMinutesFundingPeriod,
        uint _tokenPriceInflationRate) payable returns (uint) ",type-3-2
147,00b0b8ebd5acf7e2761918dfdb618b7dfe3a47c5f10e67482e69b176464d252b,finalize() minCapReached salePeriodCompleted isValidState onlyBy(owner) external ,type-3-2
