,hash,ids,type
67,2a9321f34dc24519af56e14a07b3d2dc62ea26c0b36f594ba71f2d2e06893241,totalSupplyAt(uint _blockNumber) public constant returns(uint) ,type-2c
68,64fe5bfd57a9c817cfb527822f6a0e7bccb677032fbd7a07c39b5cc226ae50fe,"generateTokens(address _owner, uint _amount
    ) public onlyController returns (bool) ",type-2c
69,05ef8f84319282c25623051c341453ca8aa2dd4e75397e9917d8750b02dcdb96,"getValueAt(Checkpoint[] storage checkpoints, uint _block
    ) constant internal returns (uint) ",type-2c
70,15c88a26fa5e4203a3d23d2168a2e93d6b534227d94080500b67488f498aa6fc,claimTokens(address _token) public onlyController ,type-2c
71,f4be90796cb98493d5a55670fd4e89174c95fbe6df24af8c52b2bd5dcb2b1cc9,claimTokens(address _claimToken) public onlyOwner ,type-2c
72,15904b70b17de11fc82c00909d5ab3242ddd4fecfc1695035fb565402070fef3,setUpgradeAgent(address agent) external ,type-2c
73,a966eab3bed0b91756de6ebcd98e5a7b0403c281e630c55166a3bdc3ab132589,hatchMorties(address ref) public,type-2c
74,ea958f8405d4b2e7db7b3f78f7daf7d12f17f2a69b26b409de837403686992f6,sellMorties() public,type-2c
75,cba2de29a648db74f82ea2a496e44d721d8880293e818d3bf86e981310905a0d,"decreaseApproval(address _spender, uint256 _subtractedValue) public returns (bool success) ",type-2c
76,b06c12005a8912bae55d1cfc0687c94e415c595674561f8b9510e6b4826cd4cc,"transferFrom(address _from, address _to, uint256 _value) whenNotPaused public returns (bool) ",type-2c
77,a1c935d2bf4576ffac5da01aa824bc47457bc73ce12bc1e5b36a2ef2668f51c1,"decreaseApproval(address _spender, uint _subtractedValue) whenNotPaused public returns (bool) ",type-2c
78,672d222830a90e26f7b01ae269b30b51850fb71d17c8bbefaf6f22131e4dcf9c,"transferFrom(address _from, address _to, uint256 _value) returns (bool success) ",type-2c
79,1750fadaab9d4f7375f965028c4874239f64fa55fa045054cdd2fb51806c437c,"getCollectedOreBalances(address _owner) external view returns(uint256 iron, uint256 quartz, uint256 nickel, uint256 cobalt, uint256 silver, uint256 titanium, uint256 lucinite, uint256 gold, uint256 cosmethyst, uint256 allurum,  uint256 platinum,  uint256 trilite) ",type-2c
80,cff23bbcc40e77eb1001f030fd31ab023041018fbacece36d05c8bd4e71f4958,"_transfer(address _from, address _to, uint256 _tokenId) internal ",type-2c
81,3cd6920c0d3fcb296af13c94637f42674e4f7c78945446c4cd1d665d2db30bfa,tokensOfOwner(address _owner) external view returns(uint256[] ownerTokens) ,type-2c
82,a03c88b24c2a62581ab22c335b7c7b66614e8f13980aec6a94ebeb1e92354191,"_breedWith(uint256 _matronId, uint256 _sireId) internal ",type-2c
83,f4d4a78aa326485a1314c10b7efd5ec8f845fbc870c7d60b4b6eaf55593e2314,"breedWithAuto(uint256 _matronId, uint256 _sireId)
        external
        payable
        whenNotPaused
    ",type-2c
